record_id,title,record_type,reason,source_url,secondary_source_url,research_priority,research_question
ARED-GH-00005,Kofi Antubam authority record,person,primary source unreachable (500),https://www.rem.routledge.com/articles/antubam-kofi-1922-1964,https://artsghana.net/kofi-antubam-in-reminiscence-gh-ak/,high,"Create an object-level catalogue of state furniture, murals, mosaics, emblems and publications."
ARED-GH-00008,Kweku Kakanu authority research record,person,primary source unreachable (403),https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370,https://www.maharam.com/stories/banks_asafo-flags,high,"Verify dates, town, workshop, descendants and museum holdings through Fante field research."
ARED-GH-00009,Nana McCarthy authority research record,person,primary source unreachable (307),https://www.maharam.com/stories/banks_asafo-flags,,high,"Confirm full name, locality, dates, workshop and surviving flags."
ARED-GH-00011,Mankesim Asafo company flag,museum object,primary source unreachable (403),https://www.si.edu/object/asafo-flag%3Anmafa_88-10-1,,high,"Identify company number, proverb, maker, date, acquisition route and current community interpretation."
ARED-GH-00012,Asafo company flag with three-headed creature,museum object,primary source unreachable (429),https://www.brooklynmuseum.org/objects/188917,,high,"Identify company, proverb, locality, maker and acquisition history."
ARED-GH-00018,Asafo Flags from Ghana exhibition,exhibition,system/field/collection-level row requires object-level research,https://mingei.org/exhibitions/asafo-flags-from-ghana,,high,"Acquire exhibition checklist, donor records, provenance and object photography."
ARED-GH-00019,Adinkra prestige cloth,museum object,primary source unreachable (429),https://www.metmuseum.org/art/collection/search/687569,,high,"Identify motif names, maker locality, use, provenance and relationships to living Adinkra workshops."
ARED-GH-00020,Kola nut dyed and stamped pattern cloth (Adinkira),museum object,primary source unreachable (429),https://www.metmuseum.org/art/collection/search/711933,,high,"Identify maker, place, pattern names and collection history."
ARED-GH-00021,Geometric Akan gold weight,museum object,primary source unreachable (429),https://www.metmuseum.org/art/collection/search/317674,,high,"Connect geometric form to weight value, terminology, casting practice and local interpretation."
ARED-GH-00022,Sankofa bird gold weight,museum object,primary source unreachable (403),https://www.britishmuseum.org/collection/object/E_Af1947-13-138,,high,"Document weight value, proverb variants, production locality and acquisition history."
ARED-GH-00024,Ewe kente cloth from Keta area,museum object,primary source unreachable (403),https://www.britishmuseum.org/collection/object/E_Af1982-33-1,,high,"Recover cloth name, exact community, weaver, use and acquisition circumstances."
ARED-GH-00029,Kumasi Technical University Department of Graphic Design,institution,requires two independent credible sources,https://kstu.edu.gh/academics/programmes/bachelor-arts-communication-design,,high,"Trace departmental history, predecessor programmes, staff, print workshops and alumni."
ARED-GH-00030,The place of graphic design in national development,research publication,primary source unreachable (This operation was aborted),https://ir.knust.edu.gh/handle/123456789/3433,,high,"Extract full author, year, abstract, departmental context and cited Ghanaian practitioners."
ARED-GH-00032,Graphic design studio assessment research at KNUST,research publication,primary source unreachable (This operation was aborted),https://ir.knust.edu.gh/bitstream/123456789/7203/1/DEVELOPING%20INNOVATIVE%20ASSESSMENT%20STRATEGY.pdf,,high,"Index historical curricula, staff references and examples of student work discussed in the research."
