record_id,title,evidence_status,primary_source,secondary_source,creator_verified,date_verified,locality_verified,description_verified,historical_significance_verified,rights_checked,provenance_checked,community_authority_checked,conflicting_information,unresolved_questions,final_decision,verification_notes
ARED-GH-00001,Ghana national flag,source_checked,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,https://peoplesgdarchive.org/item/15411/flag-of-ghana,no,no,no,no,no,no,no,no,,"Locate original sketches, competition records, correspondence and oral histories from the Okoh family.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00002,Theodosia Salome Okoh authority record,source_checked,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,https://www.thenanaproject.org/written-stories/theodosia-okoh,no,no,no,no,no,no,no,no,,"Build a complete catalogue of her artworks, teaching career, flag sketches and interviews.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_3.
ARED-GH-00003,Ghana coat of arms,source_checked,https://www.amonkotei.com/life-history,https://www.wessexgallery.com/amon-kotei-ghanaian-artist,no,no,no,no,no,no,no,no,,"Locate preparatory drawings, government commission records and heraldic approval documents.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00004,Nii Amon Kotei authority record,source_checked,https://www.amonkotei.com/life-history,https://wadr.org/african-hero-amon-kotei-2/,no,no,no,no,no,no,no,no,,"Catalogue his wartime cartography, commercial art, calligraphy, paintings and design commissions.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00005,Kofi Antubam authority record,source_located,https://www.rem.routledge.com/articles/antubam-kofi-1922-1964,https://artsghana.net/kofi-antubam-in-reminiscence-gh-ak/,no,no,no,no,no,no,no,no,,"Create an object-level catalogue of state furniture, murals, mosaics, emblems and publications.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary URL responded. Source classified tier: tier_2.
ARED-GH-00006,Kobina Badowah authority record,source_checked,https://www.studiomuseum.org/artists/kobina-badowah,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,no,no,no,no,no,no,no,no,,"Map flags, workshops, commissions, descendants and oral interpretations attributed to Badowah.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_2.
ARED-GH-00007,Baba Issaka authority record,source_checked,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Record biography, workshop practices, apprentices, commissions and interpretations in the maker's own words.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00008,Kweku Kakanu authority research record,source_located,https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370,https://www.maharam.com/stories/banks_asafo-flags,no,no,no,no,no,no,no,no,,"Verify dates, town, workshop, descendants and museum holdings through Fante field research.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00009,Nana McCarthy authority research record,source_located,https://www.maharam.com/stories/banks_asafo-flags,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Confirm full name, locality, dates, workshop and surviving flags.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00010,Fante Asafo flags visual system,source_checked,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,https://www.brooklynmuseum.org/objects/188917,no,no,no,no,no,no,no,required,,"community_authority_required; Create company-level records, maker genealogies, proverb translations, performance histories and custody records.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_2.
ARED-GH-00011,Mankesim Asafo company flag,source_located,https://www.si.edu/object/asafo-flag%3Anmafa_88-10-1,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Identify company number, proverb, maker, date, acquisition route and current community interpretation.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00012,Asafo company flag with three-headed creature,source_located,https://www.brooklynmuseum.org/objects/188917,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Identify company, proverb, locality, maker and acquisition history.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00013,Asafo flag depicting Elmina forts,source_checked,https://high.org/collection/asafo-flag-2/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Recover the flag's company, maker, proverb and interpretation in Elmina.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00014,"Art, Honor, and Ridicule: Fante Asafo Flags from Southern Ghana",source_checked,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Index every maker, workshop, company, locality, proverb and museum object cited in the volume.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_2.
ARED-GH-00015,Artist Alliance Gallery Asafo flag collection,source_located,https://www.maharam.com/stories/banks_asafo-flags,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Negotiate access, inventory holdings, photograph objects and identify community custodians.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00016,Fowler Museum Asafo flag collection,source_checked,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Obtain object-level dataset, provenance, image rights and linked interview documentation.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_2.
ARED-GH-00017,Horniman bicentenary Asafo flags by Baba Issaka,source_checked,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,,no,no,no,no,no,no,no,no,,missing_second_independent_source; Create item-level records with maker commentary and commission context.,manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_3.
